,Title,Context,,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
202,“信号太差看不了世界杯！”所罗门部分社区民众表不满,所罗门群岛马莱塔省West Kwara'ae的Dala北社区的电信网络用户近日对当前的网络覆盖不满意。《所罗门星报》8日报道，从上周开始，Dala北社区的夜间信号覆盖率非常差，而且在夜间也不可靠。他们表示，这种情况使那些想要通过互联网服务观看世界杯比赛的移动用户无法访问。另外，该地区的网络服务只在白天有效，在夜间则进入紧急模式。前马莱塔省第4区议会议员玛尼（Steward Mani）证实，“从上周开始，Dala北部地区的移动用户在夜间遇到了网络信号弱的情况。这确实影响了那些想用手机观看世界杯比赛的人。”在这一点上，玛尼呼吁电信公司考虑到这一情况，并在Dala北部地区和其他同样受到影响的社区升级网络覆盖。玛尼补充说，村民们已经对“TTV Now”应用程序感到兴奋，但糟糕的网络覆盖状况使他们无法使用，这让许多想要观看自己喜爱的世界杯球队比赛的人感到沮丧。,,380,文化,所罗门群岛,网络 世界杯 社区 夜间 信号 ,联合国 亚太经合组织 世界卫生组织 所罗门群岛联邦政府 所罗门群岛联邦电信公司 TTVNow应用程序。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227643&idx=1&sn=6ad9b6935ba492317ae0ee8ab1ddbd63&chksm=bef6dc4d8981555bca5aa3de02c76479e1398eb95a129531c5ca79a51a373746a14ee9c48c71#rd,1673167366
",2022.12.10
203,落实法总统政策 法属波利尼西亚宣布暂停海底开发计划,法属波利尼西亚议会14日通过了一项正式声明，宣布暂停任何允许海底采矿的计划。新西兰RNZ报道，议会上有45名成员投票赞成，11名成员投票反对，该声明旨在阻止任何此类活动，直到有更多的消息。声明明确表示，必须进行评估，以了解海底采矿对环境的风险。另外，该声明称，这是一种预防性措施，建立在污染者付费的原则之上。据了解，今年9月，社会经济咨询委员会曾反对海底采矿。与此同时，11月在埃及举行的COP27会议上，法国总统马克龙（Emmanuel Macron）也呼吁全球禁止海底采矿。法国政府表示，这样的禁令比暂停更有力，也将适用于法国的专属经济区，其中包括法属波利尼西亚水域。法属波利尼西亚的专属经济区面积超过470万平方公里，几乎占法国管辖水域的一半。,,325,历史,新西兰 法国 埃及,海底 法属波利尼西亚 声明 采矿 法国 ,联合国 COP27 新西兰RNZ 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227641&idx=1&sn=fcc90d7b580f05e6c389aa38bb035dfa&chksm=bef6dc4f89815559482926c3e9ca9548b28b48e44e107dbf9eae125b9b9e03813c1113a4cc4b#rd,1673079434
",2022.12.10
204,成太平洋唯一幸免地区！托克劳为阻断疫情继续关闭边境,托克劳卫生官员15日表示，托克劳没有自满的余地，尽管该国迄今为止躲过了新冠肺炎疫情。新西兰RNZ报道，世界卫生组织（WHO）的一位发言人说，托克劳是太平洋唯一没有任何病例记录的地区。世卫组织驻萨摩亚的托克劳发言人迪克森（Kim Eva Dickson）说，托克劳政府已采取措施为应对疫情做好准备，包括大力开展疫苗接种运动、全面检测和边境管制。大约93%的5岁及以上符合条件的托克劳已完全接种疫苗。所有医护人员、老年人和弱势人群都已全面接种疫苗，并接种了第一剂加强针。托克劳的边境仍然关闭。迪克森说，这种做法值得称赞，使该国有时间完成疫苗接种运动。三个环礁中的其中两个环礁有两名医生，而在托克劳全国共有近40名医护人员。迪克森说，新西兰外交贸易部（MFAT）提供了支持，还帮助托克劳采取了疫情防范措施。我们将继续敦促托克劳和所有太平洋岛屿国家和地区保持警惕，加强疫情监测，并准备在任何潜在暴发的迹象时迅速作出反应。”,,407,旅游,新西兰 托克劳 ,托克劳 疫情 接种 疫苗 太平洋 ,世界卫生组织（WHO） 新西兰外交贸易部（MFAT） 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227641&idx=2&sn=e2a38394ba338e3e0f60ddd7552ef5af&chksm=bef6dc4f89815559644a826c2f4e5984ccb5f316695240fa7b364b7a5b2f09fd3fdf8fff92c2#rd,1673079434
",2022.12.10
205,瓦努阿图劳动部：不延长在澳新打工的季节性工人合同,瓦努阿图劳动和就业服务部近日通过专员麦尔特诺文（Murielle Meltenoven）宣布，他们决定不允许延长在新西兰和澳大利亚参加劳动力流动计划（Labour Mobility）的瓦努阿图季节性工人的合同。《瓦国日报》12月7日报道，据了解，在封锁之前，工人离开瓦努阿图，在固定时间内按照固定合同工作。不幸的是，疫情导致了封锁，迫使他们延长了合同。随着边境的重新开放，其中一些工人继续留在海外。据专员说，涉及工人的社会问题和行为问题有所增加，给瓦努阿图的家庭带来了痛苦。鉴于7月边境重新开放，劳动部呼吁所有因边境封锁而延长合同的工人返回瓦努阿图。因此，工人必须在合同结束时返回瓦努阿图，在瓦努阿图度过一阶段，然后再返回海外。她解释说：“如果一个被批准的雇主想要向同一名工人提供一份新合同，该工人需要得到他们亲属的认可，按照通常的程序，必须在瓦努阿图处理同意（流程），而不是在澳大利亚或新西兰。”该决定于2022年11月7日生效，并根据2007年《季节性就业法》第23(7)条作出。它授权专员发布咨询指南，以适当实施劳动力流动计划，使参与不同劳动力流动计划的各方互惠互利。,,487,文化,瓦努阿图 新西兰 澳大利亚,瓦努阿图 工人 合同 延长 季节性 ,劳动力流动计划（LabourMobility）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=1&sn=ae6f8f155b59a8c2372a8aea72835c06&chksm=bef6dc4e898155580a4352c7ab302ec2e752c99e56551e46f3393829d659180a08382448da68#rd,1672998042
",2022.12.10
206,更准确、可靠和及时的气候信息帮助瓦努阿图农民,农业是瓦努阿图最重要的部门之一，但也是最容易受到气候变化影响的部门之一，为瓦努阿图农民提供能够准确评估当地天气和气候条件如何影响其作物的新工具，是解决这一问题的关键途径。为此，瓦努阿图农业信息中心（VanKIRAP）正通过与位于韩国釜山的亚太经合组织气候中心（APCC）合作，扩大农民可获得的“农业气候”服务范围。《瓦国日报》12月10日报道，在未来的一年里，该合作项目将发布新的工具，如作物产量模拟器和用于选择作物及种植品种、灌溉和病虫害控制方法、化肥用量的决策支持工具。APCC还在瓦努阿图气象和地质灾害部的早期极端天气预警基础上，为可能影响农业的极端事件开发早期预警系统。为支持这项工作，APCC执行主任申道湜（Do-Shick Shin）率领一个代表团正在瓦努阿图访问，考察APCC和VanKIRAP在实地开展的联合农业气候风险管理倡议，并讨论APCC与瓦努阿图政府在农业气候服务领域的进一步合作。瓦努阿图农业部长纳图曼（Nako Natuman）在正式讲话中感谢APCC对瓦努阿图农业和农村发展部、瓦努阿图气象和地质灾害部的持续支持。他指出，APCC与VanKIRAP的伙伴关系“与瓦努阿图的优先事项高度相关”，并与瓦努阿图的国家可持续发展计划、农业部门政策和气候服务框架保持一致。（萨琳编译）,,552,教育,瓦努阿图 韩国 ,瓦努阿图 气候 农业 APCC 农民 ,亚太经合组织气候中心（APCC）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=2&sn=8c6d1466bb784d80ece844c363096d7e&chksm=bef6dc4e898155584bf78849ecb9f9113fccbf2f29d262b428c5b821462cac50c51db7fbeb3c#rd,1672998042
",2022.12.9
207,瓦努阿图发现第15个拉皮塔遗址,《瓦国日报》12月10日刊文，报道了有关第一批在大洋洲岛屿上定居者的最新考古发现。文章摘编如下：最近由来自瓦努阿图Kaljarol Senta（VKS）机构的考古学家发现的拉皮塔（Lapita）遗址是瓦努阿图发现的第15处遗址。VKS的报告显示，考古学家已经在Motalava、Espiritu Santo、Malekula、Efate、Aneityum和Erromango岛上发现了14个拉皮塔遗址，而在Pangpang Efate上最新发现的是第15处。拉皮塔是一个术语，用来代表在特定时期内在大洋洲迁徙的特定群体，他们是第一批在大洋洲岛屿上定居的人。拉皮塔遗址是大洋洲第一批殖民者及其生活方式的证据。考古学家、VKS主任里查德·成（Richard Shing）解释说，第一个拉皮塔遗址是在20世纪60年代由法国政府官员阿贝尔（Bernard Hébert）确定的。考古学家进一步阐述说，这些遗址提供了关于殖民大洋洲人类起源的丰富知识，以及关于他们的迷人之处。“对在EfateTeouma发现的骨头进行的化学分析显示，那里有乌龟、不会飞的大鸟和鳄鱼，这些都已经灭绝了，主要是被这些第一批人类吃掉了，”成先生说。位于Teouma的遗址是太平洋地区最大的遗址之一。该遗址的挖掘工作于2004年完成，并发现了这些早期人的墓地。（萨琳编译）,,568,历史,瓦努阿图 法国 澳大利亚,遗址 发现 拉皮塔 第一 大洋洲 ,KaljarolSenta（VKS）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=3&sn=b06f5894d86d1ef31841c8562d7109e2&chksm=bef6dc4e89815558b66dac91b94ca658ae78151036b0cccd4ed5cf93e15fe656c2543a99eb92#rd,1672998042
",2022.12.9
208,提供免费救助 中国医疗团队深入瓦努阿图当地社区,近日，由9名中国医生组成的医疗队前往瓦努阿图埃法特（Efate）近海岛屿恩古纳岛（Nguna Island）的一个社区，为当地人提供免费医疗服务。《瓦国日报》12月10日报道，这些中国医生提供了咨询服务，并提高公众关于如何保持健康生活方式的健康意识。他们还会包扎伤口。医生们发现，当地人患有高血压和哮喘等常见病。据报道，医疗小组成功挽救了一名可能截肢的小男孩。他的腿上有严重的感染。医生成功地治疗了感染，并向小男孩保证他会康复。医疗队还分发了药品和中药，并向当地人解释了如何使用。在访问过程中，他们还发现该社区没有注册护士。当地人对这个团队表示感谢，因为他们提供了免费的医疗服务。这是中国在瓦努阿图的医疗团队首次与当地社区接触，他们对此感到非常高兴。这支医疗团队将在瓦努阿图工作一年。他们期待着将来在其他社区开展其他医疗服务。据了解，今年是瓦努阿图和中国建交40周年，该服务再次显示了瓦努阿图和中国之间的伙伴关系。,,407,文化,中国 瓦努阿图,医疗 中国 瓦努阿图 社区 服务 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=4&sn=74174a29c40b1bb48e4f4b00104b5bd7&chksm=bef6dc4e89815558d314aea52f6f0d1c7d6ec6693e937a8feef5cc789dd90731873a188b1886#rd,1672998042
",2022.12.9
209,国际劳工组织通过修正案 萨摩亚成唯一参加太平洋岛国,萨摩亚政府8日批准了“1986年宪法修正案”，力求使国际劳工组织（ILO）理事机构的成员更具代表性。萨摩亚观察者网11日报道，萨摩亚工商劳工部长所瓦洛（Leatinu'u Wayne So'oialo）参加了12月6日至9日在新加坡举行的国际劳工组织第17届亚太区域会议（APRM）。8日，在国际劳工组织总干事洪博（Gilbert Houngbo）的陪同下，所瓦洛签署了批准1986年修正案的文书。国际劳工组织驻阿皮亚的国家协调员佩尼（Laufiso Tomasi Peni）说，签署协议是本次地区会议的亮点之一，萨摩亚现在是唯一一个推进批准程序的太平洋岛国。所瓦洛补充说，萨摩亚支持拟议的修正案，因为它反映了国际劳工组织治理结构中的平等代表权。他还申明，萨摩亚将继续致力于通过充分参与劳动力市场和生产来实现体面就业。根据佩尼的说法，1986年修正案的主要目的是通过提供一种考虑其组成群体的各种地理、经济和社会利益的任命方式，使理事机构的成员更具代表性。他还说，1986年修正案涉及四个主要领域(a)办公室理事机构的组成和管理(b)任命总干事的程序(c)国际劳工大会的投票和(d)关于如何修改《宪法》的规则。他说：“它建议修改宪法第36条，涵盖未来的修正案，并对与具体考虑有关的修正案设定投票和批准要求。”,,553,历史,萨摩亚 新加坡 阿皮亚,劳工 修正案 国际 组织 萨摩亚 ,国际劳工组织（ILO） 亚太区域会议（APRM）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=6&sn=5a7dd1d4e50d005cb4f26423d7755015&chksm=bef6dc4e89815558e8a2902cc15d3c2828f01291046ece77064fc4e795acc899363b2b80a67a#rd,1672998042
",2022.12.8
210,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,,369,健康,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=7&sn=64b2ae3199dbd4278e51cb7242adae12&chksm=bef6dc4e898155585c1d7861aabb9e813784cf733ea43ec6d0dc52ccddd3fb6fe75cc7890d52#rd,1672998042
",2022.12.8
211,斐济日报第2029期 2022年12月10日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月10日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 10日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=8&sn=513f6a0e30125e5d189dc61837a06799&chksm=bef6dc4e898155580ac2498ab8c0aaf95571e491a7c879915ec9db683558a88510b525d8c294#rd,1672998042
",2022.12.8
212,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,,369,健康,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227575&idx=1&sn=996cc893b37601b515fc6c5cda1c5327&chksm=bef6dc01898155174575993dcebe8df4bd8e603b90c47a7de4ccf68d34fef8a49a5feea7c7d3#rd,1672828771
",2022.12.7
213,斐济日报第2029期 2022年12月10日出版,斐济日报电子报每周六同步更新至“南太之声”App，微信公众号在次周一发布。新货到！本公司从韩国直接进口各类产品：方便面（辛拉面、炸酱面、安城汤面等）、韩国辣酱、各类酱料、食用油、各种口味海苔、韩国饮料（大小包装均有）、速溶咖啡、听装咖啡、多种类韩国品牌面膜、菲诗小铺洗面奶等。本批次产品销售均为批发价，欢迎来电咨询。=======================================================2022年12月10日出版斐济日报电子报本篇文章版权归斐济日报所有，未经授权许可，其他媒体不得转载。如需转载或改编，请联系斐济日报新媒体事业部。邮箱：fijidaily@gmail.com,,307,文化,韩国,日报 韩国 2022年 12月 10日 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=1&sn=e144cf309c6442285e55812d1149e5fa&chksm=bef6dc1d8981550b52f4011ffa0acb8bdd30d752241ff129c0c6ea89005f85353338a7cb8428#rd,1672640301
",2022.12.7
214,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,,369,健康,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=2&sn=9640d19b994f2264a397697263c2d24e&chksm=bef6dc1d8981550b7df29ceb6f20e703fdb2fceeb79401fd2b04a6d30624031c172a5329b3eb#rd,1672640301
",2022.12.7
215,美学者：新西兰如何影响种族主义？太平洋岛民想要什么？,美国约翰斯·霍普金斯大学国际关系学院副教授霍尔（Nina Hall）11月19日在萨摩亚观察者网发表评论文章，分析了新西兰和种族主义的关系。文章摘编如下：新西兰是自由主义国际秩序的坚定维护者。这种全球秩序在很大程度上是由西方大国在第一次和第二次世界大战后创建的。它是由如人权和个人财产权等自由主义价值观，以及联合国和世界银行等国际机构定义的。在各种政治派别的总理和外交部长的正式讲话中，你会经常听到新西兰对这一多边“基于规则”的秩序的支持。然而，大多数评论员没有承认它的种族主义起源和新西兰在嵌入种族主义思想方面的支持作用。与此同时，学者们注意到，国际联盟和联合国是建立在种族等级的基础上的，即“不同的规范适用于不同阶层的人”。在1919年的巴黎和会上，新西兰不支持日本提出的种族平等条款。与此同时，时任新西兰总理梅西（William Massey）发表了牛津历史学家麦克米伦（Margaret MacMillan）所称的“冗长”“杂乱无章”的演讲，概述了新西兰对萨摩亚的主权主张。正如麦克米伦所指出的那样，尽管萨摩亚人的请愿并非如此，梅西错误地声称萨摩亚人希望获得新西兰的领导。新西兰并不孤单——澳大利亚提出了接管巴布亚新几内亚的理由；南非也提出了接管西南非洲（今天的纳米比亚）的理由。没有人问过太平洋岛民或非洲人想要什么。新西兰还支持国际联盟的任务制度。简而言之，新西兰并不是种族平等或非殖民化的领导者。作为一个移民国家，其地位建立在没收的毛利人的土地上，决定了其外交政策。理解当今自由主义国际秩序的思想和制度的历史，对于解释“我们如何走到今天，我们从哪里来”很重要。毕竟，植根于这一秩序中的种族等级制度也支持了一种不平等的经济交换制度。西方国家从其殖民地提取初级资源来推动本国经济，导致许多国家欠发达。这段历史揭示了为什么许多国家对国际货币基金组织、世界银行和自由贸易协定感到失望以及为什么“损失和损害”气候基金如此重要。那么，我们该如何重新思考全球自由秩序呢？第一步可能是重新考虑主权国家作为国际舞台上唯一合法角色的作用。另一个潜在的变革思想是承认自然的权利，承认河流、森林和生态系统有其固有的权利。我们需要大胆的想法和制度安排来解决我们面临的许多全球问题。（萨琳编译）,,939,历史,新西兰 美国 日本 澳大利亚 南非 纳米比亚 巴布亚新几内亚,新西兰 国际 秩序 支持 制度 ,联合国 世界银行 国际联盟 巴黎和会 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=3&sn=1623bfa18cecee5fdc21aecc549b128b&chksm=bef6dc1d8981550b30e59330332bd09a027b422f2bd746ecb388bd764adcdee1e75fa43de9c6#rd,1672640301
",2022.12.6
216,瓦努阿图与新喀里多尼亚签署旅游合作伙伴协议,负责瓦努阿图旅游、贸易、商业的部长塞雷迈雅（Matai Seremaiah）近日与新喀里多尼亚旅游局局长、董事会会长福里斯特（Michael Forrest）签署了一项伙伴关系协议。瓦努阿图《瓦国日报》12月3日报道，根据瓦努阿图旅游局的一份声明，该伙伴协议是对两国的国家旅游局进行联合合作、开展有针对性的营销和促销活动的肯定，并更好改善旅游业发展。声明称，“新的伙伴关系有效地为尽快制定联合合作计划铺平了道路，使两国旅游局能够在主要国际客源市场加强合作，开展有针对性的联合营销和促销活动。塞雷迈雅感谢福里斯特为两国在旅游业发展领域建立更紧密的工作关系所做的努力，并补充说，他希望看到两国通过利用旅游业作为促进其他贸易和商业机会的工具，为经济增长获得更多的商业机会而繁荣。对此，福里斯特也对塞雷迈雅和与会政府代表表示感谢。（萨琳编译）,,367,旅游,瓦努阿图 新喀里多尼亚,瓦努阿图 合作 伙伴 旅游局 协议 ,瓦努阿图旅游局,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=4&sn=9229bf4423eed89b804e1a56d6764a98&chksm=bef6dc1d8981550b5bd0ce7b6308fa3ac4380d11e8dcaad6c99cf81a8439d663dbf050b0c023#rd,1672640301
",2022.12.6
217,四分五裂还在用 所罗门旧纸币流通引关注,近日，在所罗门群岛西部省，残破旧纸币的持续流通引起了许多顾客的关注。所罗门群岛《所罗门星报》报道，一些吉佐居民表示，似乎还有很多纸币，特别是面额5元（所罗门群岛元，下同）、10元和20元的纸币，非常破旧，但仍然在流通。一位母亲说：“有些已经损坏了，但商家和小贩还在用。”据了解，有些钞票已经损坏到四分五裂，所以必须用纤维胶带把它们粘在一起。吉佐居民托里皮奥（Mahe Tolipio）说，这些纸币在该省流通，因为大多数商店和市场小贩甚至不愿意把它们退还给银行换成存款。吉佐大多数商店都保留着5元、10元和20元的纸币，用作找零。“正因为如此，这些旧纸币继续被传递给顾客，并在该省继续流通。其中一些纸币最终落入了渔民手中。所以，当顾客从他们那里买鱼时，这些纸币是湿的，因此很容易破碎。”他还说，银行鼓励当地居民到银行将旧纸币存掉或去兑换新钞，这很重要。另一名当地顾客朱尼尔（Keto Junior）说，他很惊讶看到这些纸币突然出现在教堂里。“大多数时候，这些旧纸币也会作为祭品出现在教堂里。”（萨琳编译）,,451,历史,所罗门群岛,纸币 所罗门 流通 这些 顾客 ,所罗门群岛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=5&sn=e9ad3100e933f552b7efb5eac00d065b&chksm=bef6dc1d8981550bbee8a8983329f579f51bad27151ff025ef27829c183318b0d1b43e0f2acc#rd,1672640301
",2022.12.6
218,瓦努阿图启动国家能源及低排放发展计划,全球绿色增长研究所（GGGI）近日在瓦努阿图正式启动了《2022-2030国家能源效率战略和行动计划》（NEESAP）以及《长期低排放发展战略》（LT-LEDS）。这是通过绿色气候基金、新西兰政府和法国政府的资助而实现的。瓦努阿图《瓦国日报》12月3日报道，瓦努阿图气候变化部长雷根瓦努（Ralph Regenvanu）是在Ramada度假村召开的发布会的主要发言人。他回顾了瓦努阿图在联合国第27届气候大会（COP27）上为争取国际法院发表咨询意见而进行的游说。他说：“政府很高兴得到GGGI的技术支持，提出的两份政策文件将极大地帮助我们。NEESAP的总体目标是为减少温室气体排放做出贡献。该文件是通过与利益攸关方、私营部门和发展伙伴协商制定的。LT-LEDS的指导愿景是减少所有部门的排放，为民众提供有弹性、可持续和公平的增长。通过密切合作，我们可以实现一个健康的气候和环境。”（萨琳编译）,,398,环境,瓦努阿图 新西兰 法国,瓦努阿图 排放 气候 发展 通过 ,联合国第27届气候大会（COP27）全球绿色增长研究所（GGGI）绿色气候基金新西兰政府法国政府2022-2030国家能源效率战略和行动计划（NEESAP）长期低排放发展战略（LT-LEDS）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227562&idx=1&sn=c0076b2536bf2ee048f4fa16f1203140&chksm=bef6dc1c8981550ad31939e8b34d67154d37b3de24d371654a78d2b7876c479f4ca68c27d6cb#rd,1672640227
",2022.12.6
219,太平洋岛国联合发起新倡议 提高地区教育水平,太平洋地区全纳教育评估（The Pacific Regional Inclusive Education Review）于近期启动，每个国家都在社区团体、非政府组织和利益相关者的协助下进行了自己的全国调查。15个太平洋岛国已对此发起一项提高教育水平的新倡议。新西兰RNZ网站8日报道，库克群岛、密克罗尼西亚联邦、斐济、基里巴斯、瑙鲁、纽埃、帕劳、巴布亚新几内亚、马绍尔群岛、萨摩亚、所罗门群岛、托克劳、汤加、图瓦卢和瓦努阿图均签署了该倡议。据悉，太平洋残疾人论坛是完成这项评估调查的众多协作网络之一，在21个国家设有分支机构。主要目标是确保儿童，包括残疾儿童，获取高质量的学习机会。这项评估由联合国儿童基金会太平洋地区和太平洋区域全纳教育工作组共同进行。联合国儿童基金会太平洋地区教育项目负责人斯米比（Anna Smeby）表示，太平洋地区全纳教育面临的最大挑战是教育机会有限和儿童生活条件差。联合国儿童基金会太平洋地区副代表巴苏（Roshni Basu）说，各国迫切需要将评估报告的建议纳入其政策。“联合国儿童基金会致力于确保我们太平洋沿岸的所有儿童都能享受包容的、当然还有高质量的教育。我敦促所有国家最大限度地努力和承诺，将评估结果转化为对全纳教育的具体投资。”（罗伊编译）,,539,教育,库克群岛 密克罗尼西亚联邦  基里巴斯 瑙鲁 纽埃 帕劳 巴布亚新几内亚 马绍尔群岛 萨摩亚 所罗门群岛 托克劳 汤加 图瓦卢和瓦努阿图,太平洋 教育 儿童 地区 评估 ,联合国儿童基金会太平洋地区 太平洋区域全纳教育工作组 太平洋残疾人论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=1&sn=1cc91d377cf1f97085208dd0ae30715a&chksm=bef6dc3f89815529474b309e3db6625b416a9816afe689c82fe2c6f3af482c42028ec6700c83#rd,1672389775
",2022.12.6
220,萨摩亚人口总数突破20万大关 6年内人口增幅4%,萨摩亚的人口在过去六年中增长了4%，达到205557人。新西兰RNZ网站8日报道，萨摩亚统计局近日发布的《2021年萨摩亚人口住房普查》官方报告显示，乌波卢依旧拥有着该国最大的人口份额，占78%，即160334人。乌波卢（Upolu）的法利亚塔（Faleata）是51个政治区中人口最多的，而萨瓦伊（Savai'i）的法利亚卢波（Falealupo）则是人口最少的，只占0.4%的人口。报告显示，萨摩亚的男女比例为51：49。但就预期寿命而言，女性比男性的平均寿命更长，女性为77岁，男性为74岁。其中，总人口的年龄中位数为22岁，反映出萨摩亚人口较为年轻，这也进一步表明了萨摩亚对教育、卫生和就业机会等持续发展的需求。据悉，2016年，萨摩亚人口为195979人。（罗伊编译）,,339,历史,萨摩亚 新西兰,人口 萨摩亚 4% 报告 显示 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=2&sn=8686212fd4da15c2f34e56f9acf51130&chksm=bef6dc3f89815529780b20c706dd253c46fe303c654cd193e31368c2ccdc36c1469468f7dfcf#rd,1672389775
",2022.12.3
