,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
215,美学者：新西兰如何影响种族主义？太平洋岛民想要什么？,美国约翰斯·霍普金斯大学国际关系学院副教授霍尔（Nina Hall）11月19日在萨摩亚观察者网发表评论文章，分析了新西兰和种族主义的关系。文章摘编如下：新西兰是自由主义国际秩序的坚定维护者。这种全球秩序在很大程度上是由西方大国在第一次和第二次世界大战后创建的。它是由如人权和个人财产权等自由主义价值观，以及联合国和世界银行等国际机构定义的。在各种政治派别的总理和外交部长的正式讲话中，你会经常听到新西兰对这一多边“基于规则”的秩序的支持。然而，大多数评论员没有承认它的种族主义起源和新西兰在嵌入种族主义思想方面的支持作用。与此同时，学者们注意到，国际联盟和联合国是建立在种族等级的基础上的，即“不同的规范适用于不同阶层的人”。在1919年的巴黎和会上，新西兰不支持日本提出的种族平等条款。与此同时，时任新西兰总理梅西（William Massey）发表了牛津历史学家麦克米伦（Margaret MacMillan）所称的“冗长”“杂乱无章”的演讲，概述了新西兰对萨摩亚的主权主张。正如麦克米伦所指出的那样，尽管萨摩亚人的请愿并非如此，梅西错误地声称萨摩亚人希望获得新西兰的领导。新西兰并不孤单——澳大利亚提出了接管巴布亚新几内亚的理由；南非也提出了接管西南非洲（今天的纳米比亚）的理由。没有人问过太平洋岛民或非洲人想要什么。新西兰还支持国际联盟的任务制度。简而言之，新西兰并不是种族平等或非殖民化的领导者。作为一个移民国家，其地位建立在没收的毛利人的土地上，决定了其外交政策。理解当今自由主义国际秩序的思想和制度的历史，对于解释“我们如何走到今天，我们从哪里来”很重要。毕竟，植根于这一秩序中的种族等级制度也支持了一种不平等的经济交换制度。西方国家从其殖民地提取初级资源来推动本国经济，导致许多国家欠发达。这段历史揭示了为什么许多国家对国际货币基金组织、世界银行和自由贸易协定感到失望以及为什么“损失和损害”气候基金如此重要。那么，我们该如何重新思考全球自由秩序呢？第一步可能是重新考虑主权国家作为国际舞台上唯一合法角色的作用。另一个潜在的变革思想是承认自然的权利，承认河流、森林和生态系统有其固有的权利。我们需要大胆的想法和制度安排来解决我们面临的许多全球问题。（萨琳编译）,,939,历史,新西兰 美国 日本 澳大利亚 南非 纳米比亚 巴布亚新几内亚,新西兰 国际 秩序 支持 制度 ,联合国 世界银行 国际联盟 巴黎和会 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=3&sn=1623bfa18cecee5fdc21aecc549b128b&chksm=bef6dc1d8981550b30e59330332bd09a027b422f2bd746ecb388bd764adcdee1e75fa43de9c6#rd,1672640301
",2022.12.6
217,四分五裂还在用 所罗门旧纸币流通引关注,近日，在所罗门群岛西部省，残破旧纸币的持续流通引起了许多顾客的关注。所罗门群岛《所罗门星报》报道，一些吉佐居民表示，似乎还有很多纸币，特别是面额5元（所罗门群岛元，下同）、10元和20元的纸币，非常破旧，但仍然在流通。一位母亲说：“有些已经损坏了，但商家和小贩还在用。”据了解，有些钞票已经损坏到四分五裂，所以必须用纤维胶带把它们粘在一起。吉佐居民托里皮奥（Mahe Tolipio）说，这些纸币在该省流通，因为大多数商店和市场小贩甚至不愿意把它们退还给银行换成存款。吉佐大多数商店都保留着5元、10元和20元的纸币，用作找零。“正因为如此，这些旧纸币继续被传递给顾客，并在该省继续流通。其中一些纸币最终落入了渔民手中。所以，当顾客从他们那里买鱼时，这些纸币是湿的，因此很容易破碎。”他还说，银行鼓励当地居民到银行将旧纸币存掉或去兑换新钞，这很重要。另一名当地顾客朱尼尔（Keto Junior）说，他很惊讶看到这些纸币突然出现在教堂里。“大多数时候，这些旧纸币也会作为祭品出现在教堂里。”（萨琳编译）,,451,历史,所罗门群岛,纸币 所罗门 流通 这些 顾客 ,所罗门群岛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=5&sn=e9ad3100e933f552b7efb5eac00d065b&chksm=bef6dc1d8981550bbee8a8983329f579f51bad27151ff025ef27829c183318b0d1b43e0f2acc#rd,1672640301
",2022.12.6
220,萨摩亚人口总数突破20万大关 6年内人口增幅4%,萨摩亚的人口在过去六年中增长了4%，达到205557人。新西兰RNZ网站8日报道，萨摩亚统计局近日发布的《2021年萨摩亚人口住房普查》官方报告显示，乌波卢依旧拥有着该国最大的人口份额，占78%，即160334人。乌波卢（Upolu）的法利亚塔（Faleata）是51个政治区中人口最多的，而萨瓦伊（Savai'i）的法利亚卢波（Falealupo）则是人口最少的，只占0.4%的人口。报告显示，萨摩亚的男女比例为51：49。但就预期寿命而言，女性比男性的平均寿命更长，女性为77岁，男性为74岁。其中，总人口的年龄中位数为22岁，反映出萨摩亚人口较为年轻，这也进一步表明了萨摩亚对教育、卫生和就业机会等持续发展的需求。据悉，2016年，萨摩亚人口为195979人。（罗伊编译）,,339,历史,萨摩亚 新西兰,人口 萨摩亚 4% 报告 显示 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=2&sn=8686212fd4da15c2f34e56f9acf51130&chksm=bef6dc3f89815529780b20c706dd253c46fe303c654cd193e31368c2ccdc36c1469468f7dfcf#rd,1672389775
",2022.12.3
222,“问题很多但仍会解决” 澳工会称将加强对瓦国工人的保护,澳大利亚数千名季节性劳工近日加入了联合工人工会（UWU），以确保他们的工资、工作条件和工作场所的安全。瓦努阿图《瓦国日报》3日报道，太平洋澳大利亚劳工流动计划（PALM）和季节性劳工计划（SWP）非常重要，许多工人都从这些计划中受益匪浅。但是很多员工都面临着很多问题，为了未来的员工待遇，这些问题必须得到解决和改善。例如，工人每周必须工作的最低小时数没有保证，而住宿、交通和健康保险等费用的扣除额不变；由于淡季没有足够的工作，导致工人的收入非常低；由于天气原因，工人增多，工作量减少等问题。会议还讨论了澳大利亚和瓦努阿图政府应如何更密切合作，以确保工人了解他们的权利，并能够提出和解决他们所关注的问题。澳大利亚国防工业、国际发展和太平洋事务部长康罗伊（Pat Conroy）表示，该计划对两国都很重要，因为1/3的太平洋岛民每年的生活费为1000澳元，而普通工人每年寄回1.5万澳元。“这是一个非常庞大的计划，但我们做几件事是非常重要的。第一，工人受到保护。我们上个月通过的预算将考虑到这一点，因为我们正在加强对工人的保护，以确保他们不受剥削。其次，我们正在建立提高工人技能的制度，这样当他们回到瓦努阿图这样的国家时，他们就能掌握更多的技能，为当地经济做出贡献。”（周晓编译）,,538,历史,澳大利亚 瓦努阿图,工人 问题 计划 澳大利亚 工作 ,联合工人工会（UWU） 太平洋澳大利亚劳工流动计划（PALM） 季节性劳工计划（SWP）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=4&sn=0b5db8b7715a72eb4902ca88c28af1be&chksm=bef6dc3f898155294a7c03570cd467a76ef53f3c8c1a32395534fa7f7a6995d070dbf681e1c1#rd,1672389775
",2022.12.3
224,不通过，就暂停！专家：海洋管理委员会的威胁是危言耸听,一位研究太平洋金枪鱼产业的专家说，如果中西部太平洋渔业委员会（WCPFC）金枪鱼委员会近日在越南召开的会议不通过鲣鱼捕捞战略的管理措施，明年的渔业就不会崩溃。太平洋岛屿新闻协会11月30日报道，专家布拉哈（Francisco Blaha）说，如果不通过捕捞战略，海洋管理委员会（MSC）威胁要暂停该地区33个经MSC认证的金枪鱼渔场，这是一种“危言耸听”的策略。他进一步指出，热带金枪鱼措施（TTM）和丰收策略（HaSt）协议可能是WCPFC面临的最复杂的问题。“从MSC的角度来看，如果没有丰收策略协议，MSC无疑将是将在这一切中受到最大的影响……现实是，与小岛屿发展中国家（SIDS）相比，他们面临的风险和损失更大……如果他们暂停对主要渔业的认证，而这些渔业的大部分产量都在他们的标识下，他们将损失很多钱。”另外，他表示，虽然采用鲣鱼管理程序从字面上看很不错，但现实情况是，目前的管理框架存在差距和弱点，特别是对公海捕鱼的管理，与在国家水域捕鱼相比，公海捕鱼的控制和有效监测要少得多。（周晓编译）,,450,历史,越南 ,管理 委员会 金枪鱼 如果 渔业 ,MSC（海洋管理委员会）HaSt（丰收策略）SIDS（小岛屿发展中国家）TTM（热带金枪鱼措施）WCPFC（中西部太平洋渔业委员会）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=6&sn=76855bf7b218aec2e0c1cc4fa11f7092&chksm=bef6dc3f89815529758394e5dc230b0890910ba2666a9f51200b21a121ba0977cca9e3a73215#rd,1672389775
",2022.12.3
225,非法转运猖獗 中西部太平洋渔业委员会：赶紧让观察员回来！,近日参加在越南举行的中西部太平洋渔业委员会（WCPFC）会议的民间社会组织认为，由于新冠肺炎疫情，过去三年公海的转运活动有所增加。太平洋岛屿新闻协会网12月1日报道，世界自然基金会太平洋中西部地区金枪鱼项目经理库克（Bubba Cook）在越南岘港表示，由于疫情，观察员的撤离使得公海非法转运更加猖獗。库克强调：“一个重要方面是让观察员回到船上，并确保他们收集正确的信息，这样我们就可以更好地评估转运在中西部太平洋地区金枪鱼分布中扮演的角色。”他说：“太平洋岛屿有权从这些资源中获益，这些是在他们的水域进行鱼类捕捞，以及在公海上转运任何东西，但他们从这些资源中获得的利益很少。作为一个组织，我们希望看到在该地区捕获的所有金枪鱼都集中在港口，因为它们可以经过更多审查，最终通过征税和港口服务，让捕捞所获收益更多地积累到太平洋群岛。所以，金枪鱼委员会应该优先处理这个问题。”据估计，仅在《世界野生动物保护公约》中，每年至少有价值1.42亿美元的金枪鱼和类似金枪鱼的物种被非法转运。尽管转运已成为许多金枪鱼渔场海鲜供应链的重要组成部分，但它也被广泛认为是非法捕捞的鱼类进入市场的主要途径之一。这是因为转运是在有关机构看不到的海上进行的。,,515,历史,越南 美国,转运 太平洋 金枪鱼 非法 中西部 ,中西部太平洋渔业委员会（WCPFC）世界自然基金会《世界野生动物保护公约》,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=7&sn=ed764df15fa78cfd2ac3540e9ecf34ae&chksm=bef6dc3f89815529d898418f2d1d432f02f40ed70a63dd506d2d996d28a2b8da52b35e3e45ba#rd,1672389775
",2022.12.2
226,首届太平洋澳大利亚新兴领导人峰会召开,来自太平洋和澳大利亚的年轻领导人近日在首届太平洋澳大利亚新兴领导人峰会（Pacific Australian Emerging Leaders Summit）期间聚集在一起，进行交往建设、领导力发展和对话。太平洋岛屿新闻协会11月25日援引Mirage新闻报道，为期4天的峰会由澳大利亚Micah和太平洋教会会议（PCC）组织，聚集了22至35岁的新兴领袖，讨论年轻人及其社区的关键发展优先事项。峰会在澳大利亚联邦议会举行，与会代表与澳大利亚议员会面，分享他们在太平洋地区关键发展和外交政策问题上的经验。参加这次峰会的有来自13个太平洋国家的34名代表，13名来自澳大利亚移民社区的代表，12名来自澳大利亚原住民社区的代表和32名其他澳大利亚人。优先讨论的主题包括气候变化、教育和青年失业、改善获得水和卫生设施的机会，以及自决和包容。来自萨摩亚的律师、代表阿皮亚（Lelata Apia）说，峰会为新兴国家领导人发展关系和建立牢固的关系提供了一个很好的机会。“作为一个代表，我们的愿景是在整个太平洋地区看到健康的环境、有能力的年轻人和繁荣的社区。通过与太平洋彼岸的国家建立牢固的关系，我们可以帮助实现这一愿景。”来自昆州的原住民青年领袖代表曼宁（Biannca Manning）说，这次峰会为澳大利亚原住民提供了一个与太平洋新兴领导人建立伙伴关系的重要机会。“在我们寻求建设一个有韧性、健康和繁荣的太平洋时，我们必须汲取整个地区原住民的古老智慧。这包括澳大利亚的原住民，他们在与同行接触和建立伙伴关系时必须有一席之地。”（萨琳编译）,,666,历史,萨摩亚  汤加 瓦努阿图 新西兰 巴布亚新几内亚 密克罗尼西亚 瑙鲁 基里巴斯 图瓦卢 马绍尔群岛 萨尔瓦多澳大利亚澳大利亚,太平洋 澳大利亚 峰会 代表 来自 ,太平洋岛屿新闻协会 澳大利亚Micah 太平洋教会会议 联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=8&sn=007de8eae15fc489dead1c79a33a52b3&chksm=bef6dc3f8981552979866be48db18c334ed112972adced249f911867ed5cec870abcf6920a8b#rd,1672389775
",2022.12.2
230,又签啦！所总理：感谢中国送来的这份美妙礼物,所罗门群岛与中国之间的关系继续稳步发展，近日签署了在霍尼亚拉国家转诊医院（NRH）建设一个新的综合医疗中心的协议。所罗门群岛《所罗门星报》11月23日报道，当日，所罗门群岛卫生和医疗服务部长托戈马纳（Culwick Togamana）和中国驻所使馆经商参赞宫瑞（Gong Rui）出席了签字仪式，所罗门群岛总理索加瓦雷（Manasseh Sogavare）和中国驻所大使李明出席了签字仪式。该实施协议标志着在主医院东端开始建设综合医疗中心，这体现在2022年5月正式签署的《卫生合作谅解备忘录》中。新中心将为心脏问题、胸痛、高血压、各种心脏疾病，包括心脏缺陷、心血管疾病或影响血管的疾病提供专门治疗服务索加瓦雷说，心脏和肾脏疾病是所罗门群岛的主要致死原因之一。他说：“作为非传染性疾病的一部分，全国每10名死亡成年人中有7到8人死于非传染性疾病。”NRH综合医疗中心建成后将成为该国第一个配备适当设施和设备的优秀中心，可以诊断心脏和肾脏相关问题，提供治疗和管理选择，包括为肾脏患者提供透析治疗。索加瓦雷说：“我借此机会代表卫生部长及其工作人员、我国政府和所罗门群岛人民，向你们并通过你们向贵国政府表示我们真诚的赞赏和感谢，感谢你们向所罗门群岛人民赠送了这份美妙的礼物。”目前，一个来自中国的医疗团队也在协助NRH的医生和护士，负责提供针灸服务。该小组还将负责新医疗大楼的建设。（周晓编译）,,594,历史,所罗门群岛 中国,所罗门 群岛 医疗 疾病 中国 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227479&idx=2&sn=fc6b0bd8aca8b64bff3b7a254247a012&chksm=bef6dde1898154f73fce65fe75919424737311e34740d6b8f7bd1d33564dc47811a3bf7d0a43#rd,1672217175
",2022.12.1
233,历史上金额最大的一次！巴新发布2023年国家预算案,巴布亚新几内亚的财政部长斯塔基（Ian Ling-Stuckey）11月29日宣布了对家庭的预算支持以及对银行的大幅增税。新西兰RNZ报道，该国2023年的预算是其历史上数量最大的一次。当日，斯塔基提交了245亿基纳（约合67.8亿美元）的预算，其中包括13.4亿美元的赤字，低于去年的预算。政府还预计，到2023年，它将向银行业征收45%的税收，最多可征收1亿美元（约合3.47亿基纳）。但预计这一增长将影响到向拥有银行业股份的超级基金的股息支付。限制圆木出口斯塔基还宣布，在预算案中为联合国设立的生物多样性和气候变化信托基金提供资金支持。资金将来自于对圆木出口增加50%的税收。斯塔基在其预算案演讲中说，税收产生的800万美元（约合2772万基纳）将被用作巴布亚新几内亚减缓气候变化努力的种子基金。这项税收建立在从2020年开始的现有努力之上，即到2030年停止圆木出口并鼓励下游加工。圆木出口几乎占了巴布亚新几内亚森林的全部收入。（周晓编译）,,424,历史,巴布亚新几内亚 新西兰 美国,斯塔基 预算 美元 税收 圆木 ,联合国亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227479&idx=5&sn=67e218ccbc1546e21072e0b34f4d8cae&chksm=bef6dde1898154f7074d95f79b291e3bf41f83eb29181d24a9ec33cbdc932b148fa58824e07b#rd,1672217175
",2022.11.30
235,时隔3年 西中太平洋渔业委员会线下召开年会,在受新冠肺炎疫情影响3年后，西中太平洋渔业委员会（WCPFC）于11月29日在越南岘港（Da Nang）首次举行面对面年会。太平洋岛屿新闻协会报道，上一次线下年会还是2019年12月在巴布亚新几内亚的莫尔兹比港举行的。WCPFC执行主任体奥（Feleti Teo）表示，代表们齐聚岘港，为委员会规划未来的道路，如果能够从过去3年里总结教训，就能很好地实现目标。“所以，我们过去只能在电脑屏幕和语音对话，现在能够重新和大多数代表线下联系，首次和同仁们线下见面，这多么令人激动和兴奋。”他还提到，尽管疫情持续干扰，但委员会一年的工作还是相当成功。执行主任将离任同时，体奥还在会议开幕式上宣布，他将于2023年3月离任。“现在，当我回顾过去的8年，我非常感激和知足自己能在WCPFC的历程中扮演了非常小的角色。随着WCPFC攀登新的高度，在其他金枪鱼区域渔业管理组织（RFMOs）中脱颖而出，取得了许多其他区域海洋的同类组织无法比拟的成功故事和成就。这是值得珍惜和陶醉的时刻。我要感谢很多很多人，感谢他们在这段旅程中对我的支持。”据悉，执行主任的任期为四年，可连任两届。执行主任由26个成员国政府任命，负责总部设在密克罗尼西亚联邦波纳佩的秘书处工作。预计新决定将在本周的WCPFC19会议上作出。WCPFC决定将影响金枪鱼渔业海洋管理委员会（MSC）近日警告说，如果WCPFC不能采取鲣鱼捕捞战略的管理措施，并在为该地区其他金枪鱼种群提供捕捞战略方面取得进展，该地区33个获得MSC认证的金枪鱼渔场可能会失去认证。渔业标准主任科瑞（Rohan Currey）说，WCPFC的管理系统对采用捕捞策略没有一个具体的承诺。专家们表示，本周在越南举行的WCPFC会议上做出的决定将极大地影响到迄今为止在全球范围内营销可持续金枪鱼渔业的工作。越南请求加入委员会作为此次会议的举办地，越南也表示希望能够成为WCPFC的正式成员国。越南渔业总局局长陈廷轮（Tran Dinh Luan）在开幕式发表主旨演讲时宣布了这一消息。他对代表们说：“我也希望越南能作为WCPFC的正式成员，积极参与WCPFC的区域管理机制并作出有效贡献。落实本区域的共同承诺和努力，加强金枪鱼产品的可追溯性，保护和可持续发展洄游海鲜资源，打击非法、无管制和未报告的捕捞，遵守区域和国际上的负责任渔业原则。”据悉，从2009年至今，越南是WCPFC的非成员国，但是是合作国家。（萨琳编译）,,1020,历史,越南 巴布亚新几内亚 密克罗尼西亚联邦,WCPFC 渔业 越南 委员会 金枪鱼 ,西中太平洋渔业委员会（WCPFC） 金枪鱼渔业海洋管理委员会（MSC） 联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=1&sn=3617ecce33424e6fc510bb405f60d0ca&chksm=bef6ddfe898154e8d608589efee181bdf1e0563cf5a2fd9c1beee16e70bb36ccc4185c3a4bab#rd,1671785289
",2022.11.27
237,钱波大使获颁斐济荣誉军官勋章,在11月29日于国家宫举行的特别授勋仪式上，总统Ratu Wiliame Katonivere向中华人民共和国驻斐济大使钱波授予了斐济荣誉军官勋章。Ratu Wiliame形容钱波是一个致力于服务的人，他超越了现状，为斐济和中国的关系发展了新的机会，同时坚持了外交官的传统角色。钱波大使并不满足于了解双边利益的复杂性。他为持续和有意的接触铺平了道路。RatuWiliame指出，钱波大使确保了对斐济经济重要部门发展的支持，这体现在斐济和中华人民共和国之间签署了许多谅解备忘录和合作协议，这对两个国家的发展都有好处。他认为，钱大使的不断参与使得自2018年以来发展取得长足进步，并持续到今天。斐济荣誉勋章是授予那些为斐济和全人类提供了杰出的高度服务的人。,,326,历史,中华人民共和国 ,大使 发展 荣誉 勋章 军官 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=3&sn=90932e75cf58396f0c40ba37b70a1a1e&chksm=bef6ddfe898154e8ae0a9f903a4bd08afac9f27146a08981af193e5536eee801e804376d20c8#rd,1671785289
",2022.11.27
240,被迫迁离故乡 图瓦卢或成世界首个数字国家,图瓦卢外长科菲（Simon Kofe）近日表示：“图瓦卢和其他太平洋国家一样，没有袖手旁观，都在等待世界采取行动。我们已经采取了预防措施，以保护和维护我们的国家地位和主权。”太平洋岛屿新闻协会网17日报道，科菲指出，“我们看到温度上升远高于1.5摄氏度，这预示着像我们这样的岛屿即将消失。我们必须通过‘未来与现在’项目采取预防措施，因为我们的土地将消失，我们将成为世界上第一个数字国家。”他继续说，鉴于过去在缔约方会议上无所作为的经验，其政府正在计划通过数字手段保存和保护文化和国家资产。“我们将以虚拟的方式一块一块地重建它们，以提醒我们的子孙后代家园曾经是什么样子。我们的数字国家将提供一种在线存在，取代我们的实体存在，让我们继续作为一个国家运作。过去一年来，我们一直在为这一举措努力，建立保留和保护我们国家的能力。”他警告说：“如果没有全球良知和承诺，我们可能很快就会发现世界上的其他国家也加入我们的行列。”斐济驻联合国大使普拉萨（Satyendra Prasad）表示，图瓦卢作为数字国家存在的创新计划是对该国目前面临的现实做出的大胆回应。在斐济，政府正在为迁移48个处于气候变化前沿的村庄和社区做准备。太平洋岛国论坛秘书长普纳（Henry Puna）支持维持1.5摄氏度目标的呼吁。如果失败，太平洋上的前沿社区将被迫离开他们一直生存的家园。普纳指出，“这已经在发生了。巴布亚新几内亚的卡特雷特群岛（Cateret Islands）是太平洋上第一个有组织的重新安置（案例），所罗门群岛的卡莱岛（Kale Island）和斐济的一些社区也进行了重新安置。对于图瓦卢、基里巴斯和马绍尔群岛这样的环礁国家来说，向内陆移动是不可行的，因为没有其他地方可以搬去。”他继续说：“该地区正在采取协商一致的方式，并已经开始就太平洋区域流动框架进行磋商。一旦到位，该框架将有助于解决气候流动和移民等敏感问题。”（周晓编译）,,805,历史,图瓦卢  巴布亚新几内亚 所罗门群岛 基里巴斯 马绍尔群岛,国家 太平洋 图瓦卢 数字 世界 ,5摄氏度目标 太平洋区域流动框架联合国 太平洋岛国论坛 太平洋岛屿新闻协会网 ,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=6&sn=806418671796582c28841ae31c0b9098&chksm=bef6ddfe898154e87c173eb810ef0cdebbe22f59946647bed9120a2827641307d57608a80699#rd,1671785289
",2022.11.27
241,气候变化问题如何解决？马绍尔群岛呼吁提高碳税,马绍尔群岛在上个世纪曾有过被激烈争夺的历史，现在它将继续遭受化石燃料开采带来的又一轮冲击。太平洋岛屿新闻协会网17日报道，马绍尔群岛曾是迄今为止最具破坏性武器的试验场，而今天，该国正受到人类活动引起的气候变化导致的海平面上升的威胁。马绍尔群岛共和国自然资源和商务部长西尔克（John Silk）在2022年联合国气候变化大会第27次缔约方会议（COP27）的高级别会议上发言，向世界表明，其他国家的行动正在对包括马绍尔群岛在内的所有国家产生影响。在埃及沙姆沙伊赫举行的COP27会议上，小岛屿国家联盟在太平洋岛屿的支持下，呼吁制定损失和损害的财务安排。损失和损害是指气候变化的影响超过了国家、社区和生态系统的适应能力。太平洋岛国的谈判代表们希望在COP27会议上能就这一资金承诺达成一致，但目前在损失和损害的资金安排这一基本议程项目上仍然缺乏进展，这一点令人担忧。COP27呼吁全世界利用现有的解决方案，寻求伙伴关系和合作，帮助马绍尔群岛实现其国家确定的贡献。2018年马绍尔群岛电力路线图说明了其实现这一目标的途径。西尔克还指出，有可能通过海运等快速降低高排放行业的方式，在2050年前实现零排放。西尔克说：“作为世界上最大的航运注册地之一，我们呼吁国际海事组织征收碳税，从每吨100美元提高到现在的水平，这将真正给公司提供一个去碳化的理由，并为发展中国家提供一个重要的收入来源。”他继续补充说：“我们无法逃避冰川融化流下的水滴，也逃不掉潮汐入侵水井时渗进井里的盐分。在这个相互联系的世界里，我请求你们所有人与我们团结一致，并作出我们历史上这一时刻所要求的艰难而大胆的决定。”（周晓编译）,,695,历史,马绍尔群岛 埃及 美国,马绍尔 群岛 国家 气候 变化 ,联合国 太平洋岛国联盟 联合国气候变化大会 国际海事组织,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=7&sn=93f6b1137ca3cc26e8fe59de92837a31&chksm=bef6ddfe898154e8607e01988a33524c9e555c9700417e704a80b9318ce31405e3db950ff451#rd,1671785289
",2022.11.26
243,世界首创 纽埃在气候大会上提出新方案,位于广袤太平洋中部的纽埃岛近日在《联合国气候变化框架公约》第二十七次缔约方大会（COP27）上展示了应对气候变化的领导力，提供了一个本土的创新解决方案，为气候适应和缓解筹集资金。太平洋岛屿新闻协会网18日援引南太平洋区域环境计划网报道，15日，在埃及沙姆沙伊赫国际会议中心举行的COP27高级别会议上，纽埃自然资源部长阿伊努（Esa Sharon Mona Ainu’u）向世界各国领导人介绍了该国的环境和非金融工具——海洋保护信贷的愿景。纽埃基金会的目标是建立一个纽埃和全海洋信托基金，为帮助减缓和适应气候变化的优先事项提供持续的资金来源。这在世界上尚属首次。阿伊努说：“该资助机制是可扩展和可复制的。我们的目标是筹集至少3200万纽埃元（约合1900万美元）来充实我们的信托基金，并在20年内每年提供150万纽埃元(约合91.8万美元)。3200万纽埃元是根据保护和维护1平方公里Moana Mahu海洋保护区的总成本计算的，该保护区占纽埃专属经济区的40%，即12.7万平方公里。”为了实现这一目标，纽埃呼吁及时获得气候融资，以交易成本最低的方式提供，并与我们的吸收能力相称。阿伊努说：“这些都是我们所寻求的声音，我们期待你们这些合作伙伴与我们一起努力。让我们利用那些承诺给我们的气候基金来兑现承诺；加快发放资金，以解决损失和损害，并制定执行项目活动的流程，团结一致，努力实现共同目标。”（周晓编译）,,603,历史,纽埃 埃及 美国,气候 纽埃 提供 目标 世界 ,联合国气候变化框架公约太平洋岛屿新闻协会网南太平洋区域环境计划网纽埃基金会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227435&idx=1&sn=42f4aeb21108ceff641feb2caaa138f0&chksm=bef6dd9d8981548b1821b8caf2d557c354faf88c696396856f3a71fadeecdcb8410bbe453993#rd,1671776994
",2022.11.25
244,汤加人口大幅下降原因揭晓：与欧洲人到访有关,澳大利亚国立大学（ANU）近日的一项新研究显示，由于与欧洲船只接触，太平洋岛国遭受了外来疾病的严重破坏。汤加Matangi网21日报道，这项发表在《考古科学杂志》上的研究表明，人口减少的程度比之前想象的要大得多。根据这项研究，当欧洲人开始与汤加接触后，汤加主岛的人口下降了70%至86%。澳大利亚国立大学文化、历史和语言学院的研究人员、博士生帕顿（Phillip Parton）和ARC未来研究员克拉克（Geoffrey Clark）发现，在与欧洲接触之前，汤加人口能达到10万至12万人。帕顿说，他和合著者克拉克教授使用航空激光扫描数据来绘制汤加主岛上的居民地图，“然后使用我在博士时期收集的一部分考古数据来估计人口。”他继续指出，“对过去的进一步了解使我们能够看到，汤加王国主岛汤加塔布岛（island of Tongatapu）的人口在50年间从5万至6万大幅减少到1万人。帕顿补充说：“因为这个数字比任何人之前考虑的都要大得多，我用航运和传教士的数据来检验我的估计，发现它们是合理的。显然，这表明对19世纪全球化影响进行了重大的重新评估。”他强调，“与世界上许多地方一样，当欧洲人引入新的病原体后，太平洋岛屿上的人口出现了严重的下降。”这项研究已发表在《考古科学杂志》上。（周晓编译）,,546,历史,澳大利亚 欧洲 汤加,汤加 人口 研究 下降 欧洲人 ,联合国 亚太经合组织 世界卫生组织 世界银行 国际货币基金组织 世界贸易组织 联合国教科文组织。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227390&idx=1&sn=ce371550f53408a1a43ea66da0666f5c&chksm=bef6dd488981545e992097796a034c4500119f26fa98c5eba143b5863665f78baeac62a4cec7#rd,1671522814
",2022.11.25
