,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
164,巴新教师储蓄和贷款协会作为商业银行运营,巴新工商会会长伊恩对教师储蓄和贷款协会提出了一些注意事项。（图/巴新《国民报》网页截图）巴新《国民报》报道，伊恩说：“还存在挑战。政府最近决定向银行征税45%，并取消以前占主导地位的1.9亿基那（约合5392万美元）的市场税就是一个例子。所以，税收政策的变化确实会抑制现有企业的投资或扩张。”不过，伊恩还表示：“对于新玩家来说，我相信他们在规划和成本效益决策时会考虑到这一点。我相信协会董事会和管理层已经考虑到这一点，并采取了适当的缓解措施。无论如何，Tisa的努力都受到了欢迎，因为国家还有建立更多银行的空间。我们有很大一部分人口，特别是农村地区的人口，迫切需要银行服务。零售银行服务增长的机会就在那里。”（萨琳编译）,310,其他,巴新 美国 基那,银行 巴新 协会 伊恩 教师 ,巴新教师储蓄和贷款协会,2023.1.9,226,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227641&idx=2&sn=e2a38394ba338e3e0f60ddd7552ef5af&chksm=bef6dc4f89815559644a826c2f4e5984ccb5f316695240fa7b364b7a5b2f09fd3fdf8fff92c2#rd
165,全球现多种新冠变异株 巴新国家流行病应对中心提醒民众注意防范,巴新《国民报》2022年12月30日报道，“从数据来看，在国家首都区、新爱尔兰省、马当、西高地省、赫拉省、莫罗贝港和东塞皮克省，这种传播很明显。”艾斯罗姆表示，疫情第五次激增始于去年11月，预计将于今年2月中旬结束。“感染奥密克戎变异毒株的症状已经改变，现在人们表现出以下症状——发烧、咳嗽、头痛、腹泻、关节和肌肉酸痛。”他还指出，巴布亚新几内亚正在监测全球的疫情发生情况，他说:“印度、韩国和日本都出现了感染激增的现象。因此我们将就国内将采取何种措施向国家紧急状态总监（the Controller）提出建议。”另外他还提到，“虽然我们已经放松了所有的限制，但民众必须保持警惕，并且仍须遵守以下规定是很重要的。”待在户外阳光下；吃好休息好；多喝水；避免前往人群密集的地方，佩戴口罩；如果你出现症状，要进行检测；出现症状时立即就医；接种疫苗。艾斯罗姆还强调，50岁及以上、有合并症的，以及一线工作人员也需要接种疫苗，以防止住院或死亡。（周晓编译）,423,其他,新爱尔兰省 马当 西高地省 赫拉省 莫罗贝港 东塞皮克省 印度 韩国 日本 巴布亚新几内亚,症状 国家 出现 全球 变异 ,巴新国家流行病应对中心,2023.1.8,229,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=3&sn=b06f5894d86d1ef31841c8562d7109e2&chksm=bef6dc4e89815558b66dac91b94ca658ae78151036b0cccd4ed5cf93e15fe656c2543a99eb92#rd
167,国家运输核心计划仍然停滞不前？所总理：基础设施的建设迫在眉睫,《所罗门星报》2022年12月30日报道，国家运输核心计划价值8.55亿美元（约合65亿所罗门群岛元），预计将创造2700多个就业岗位。该项目将为瓜达尔卡纳尔岛、马莱塔省、西部省等主要省份建设道路和桥梁、港口基础设施，并购买相关船只。索加瓦雷说，基础设施将人们与市场和服务联系起来，支持和刺激农村地区的经济活动，并改善人们的生活。然而，索加瓦雷当日在议会发表讲话，为本届议会第五次会议的无期限动议收尾时说，自从3年前签署这个概念以来，没有取得任何进展。他在议会表达了失望之情。索加瓦雷在签署国家运输核心计划时表示，基础设施部门的投资将对其他部门和经济产生倍增效应。总理说，建立国家基础设施发展局的工作也在进行中。（周晓编译）,312,其他,美国 所罗门群岛 瓜达尔卡纳尔岛 马莱塔省 西部省,基础 设施 国家 运输 核心 ,国家运输核心计划,2023.1.5,231,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227640&idx=5&sn=4682517ec6e8fc24149c3b2021684cd2&chksm=bef6dc4e898155580bdefb044bf3f6bf0af64e1c081b2b15271c37e83c748ba58d2d032525b7#rd
171,澳洲要与岛国合办COP31？帕劳总统发声支持,帕劳总统惠普斯（Surangel Whipps）近日谈到澳大利亚计划在2026年主办《联合国气候变化框架公约》第三十一次缔约方大会（COP31）时表示“是时候把这个问题带到太平洋了。”帕劳《岛屿时报》22日报道，澳大利亚曾表示有意申办2026年的COP31，并希望与太平洋岛国共同举办。惠普斯证实，澳大利亚代表团在不久前召开的COP27会议上同他接触，寻求帕劳的支持。惠普斯赞扬了澳大利亚在2021年COP26会议上做出的到2030年将碳排放量减少43%的承诺。“从此前承诺的30%提高到43%，这是一个很大的进步，澳大利亚还致力于发展可再生能源，目前正在帮助我们的太阳能项目。”澳大利亚影子外长、反对派领袖伯明翰（Simon Birmingham）说：“在气候变化问题上，澳大利亚正在超额实现其设定的零排放目标。”他参加了澳大利亚两党代表团对三个太平洋岛国瓦努阿图、密克罗尼西亚联邦和帕劳的访问。伯明翰解释说，澳大利亚正在发生变化，比如在可再生能源方面的投资达到了创纪录的水平，但国内的政治辩论并没有帮助澳大利亚清楚传达这些变化。在近日对帕劳的短暂访问中，澳大利亚高级别代表团参观了帕劳目前在建的最大的太阳能发电场，该发电场是由澳大利亚太平洋基础设施融资基金提供资金建设的。一旦建成，该设施将为帕劳解决20%的可再生能源需求。,564,其他,澳大利亚 瓦努阿图 密克罗尼西亚联邦 帕劳,澳大利亚 帕劳 变化 太平洋 岛国 ,联合国气候变化框架公约（UNFCCC） 亚太计划（APF） 澳大利亚太平洋基础设施融资基金（APIF）,2023.1.1,237,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227563&idx=2&sn=9640d19b994f2264a397697263c2d24e&chksm=bef6dc1d8981550b7df29ceb6f20e703fdb2fceeb79401fd2b04a6d30624031c172a5329b3eb#rd
176,巴新INA所长：政府应首先修复现有国家机构,巴新国家事务研究所（INA）所长巴克（Paul Barker）近日呼吁政府要率先修复现有的国家机构。巴新《国民报》23日报道，巴克表示，政府倾向于创建新的机构来解决问题，而不是修复或为现有机构提供资源，让它们发挥作用。“这就导致了权力重叠。各机构和部门需要有效的审查和监督系统，这样权力才不会重叠。随着最近新部门和机构的成立，政府必须确保现有组织的职能不与新组织重叠，尽管它们通常倾向于这样做。中央政府机构负责规划、协调和监督，而一线机构、法定机构和地方当局则负责执行。”巴克指出，政府还需要提高项目和政策的执行能力以及监测支出的能力。“有多种现有机构在履行这一职能，包括检查和审计角色，而我观察的财政检查员，他们已不复存在。所有这些职能都资源不足，在各个方面都有缺陷，政府机构的增加使审计长难以实地进行跟踪。”巴克还说，政府没有坚持自己的核心职能，包括对私营部门的监管职能，而是不断挪用稀缺的公共资金来履行私营部门的职能，而私营部门的职能总是表现不佳，忽视了提供服务的基本任务。他希望反腐败独立委员会能在政府和私营部门之间形成强有力的协调关系。（萨琳编译）,479,其他,巴新,机构 政府 职能 部门 现有 ,联合国 亚太经合组织 世界银行 国际货币基金组织 世界贸易组织 联合国开发计划署 联合国教科文组织 联合国粮食及农业组织 联合国环境规划署 联合国儿童基金会 联合国难民署 联合国人口基金会 联合国犯罪及司法署 联合国教育 科学及文化组织 联合国劳工组织 联合国经济及社会理事会 联合国人权理事会 联合国安全理事会 联合国政府间气候变化专门委员会 联合国气候变化框架公约组织 联合国气候变化框架公约组织秘书处 联合国气候变化框架公约组织科学技术委员会 联合国气候变化框架公约组织经济及社会理事会 联合国气候变化框架公约组织环境及发展理事会 联合国气候变化框架公约组织环境及发展委员会 联合国气候变化框架公约组织环境及发展委员会秘书处 联合国气候变化框架公约组织环境及发展委员会科学技术委员会 联合国气候变化框架公约组织环境及发展委员会经济及社会理事会 联合国气候变化框架公约组织环境及发展委员会环境及发展委员会 联合国气候变化框架公约组织环境及发展委员会环境及发展委员会秘书处。,2022.12.25,243,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=2&sn=8686212fd4da15c2f34e56f9acf51130&chksm=bef6dc3f89815529780b20c706dd253c46fe303c654cd193e31368c2ccdc36c1469468f7dfcf#rd
178,汤加等14个太平洋岛国共同参与治理化学品污染项目,汤加近日和其他13个太平洋岛国共同参与了一项治理污染项目。该项目是太平洋岛国中最大的反污染项目，涉及有毒化学品和废物的管理。它以赠款、培训、信息、数据共享和协作活动的形式为该区域危险废物的安全回收提供支持。汤加Matangi新闻网12月22日报道，此前，该项目于11月15日至17日在斐济苏瓦举行了第一次太平洋岛屿危险化学品和废物可持续管理倡议会议。联合国环境规划署（UNEP）、绿色增长知识伙伴关系组织（GGKP）和太平洋区域环境规划署（SPREP）秘书处的代表也出席了会议。汤加首席环保主义者马西（Mafile'o Masi）表示，太平洋项目旨在帮助其更好地管理危险废物和化学品，在某些情况下将包括固体废物和所有其他废物。这将有助于改善外岛废物的妥善管理。“就我们而言，这很重要，因为我们的垃圾填埋场将能够抵御气候变化，这也是我们两个外岛Ha'apai和Eua的垃圾场。”该项目的目标是查明危险废物和化学污染物的来源和主要制造者，并提请利益攸关方和影响者群体注意报废车辆、电子废物、汞、塑料和废油的使用。这将有助于避免持久性有机污染物（POPs）和汞物质在生态系统中积聚。该项目还旨在提高人们的认识，并采取切实可行的步骤，安全回收和处置收集到的危险废物。据悉，该项目得到2000万美元的全球环境基金资金和另外9400万美元的联合融资(实物)捐款的支持。,578,其他,汤加  苏瓦,废物 项目 太平洋 危险 汤加 ,联合国环境规划署（UNEP） 绿色增长知识伙伴关系组织（GGKP）和太平洋区域环境规划署（SPREP）,2022.12.24,245,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=4&sn=0b5db8b7715a72eb4902ca88c28af1be&chksm=bef6dc3f898155294a7c03570cd467a76ef53f3c8c1a32395534fa7f7a6995d070dbf681e1c1#rd
179,汤加橄榄球国家队获得2025年世界杯参赛资格,汤加国家橄榄球联盟男子球队在2022年底自动获得了2025年法国橄榄球联盟世界杯的参赛资格。汤加Matangi新闻网报道，国际橄榄球联盟确认，2021年男子橄榄球锦标赛的所有8个进入1/4决赛的球队，加上东道主法国队，自动获得了下一届世界杯的参赛资格。除汤加外，其他球队分别来自澳大利亚、英国英格兰、斐济、黎巴嫩、新西兰、巴布亚新几内亚、法国和萨摩亚。女子球队也同样自动获得资格。国际橄榄球联盟主席格兰特（Troy Grant）表示，在疫情造成的中断之后，国际橄榄球联盟的机会从未如此之大。他说:“我们现在期待着2025年的法国世界杯，在未来三年里，国际橄榄球联盟将有巨大的机会继续发展，全球每个地区都将举行资格赛。这是第一次有女子资格赛，来自美洲、亚太、欧洲、中东、非洲的球队将在区域锦标赛中争夺2025年法国世界杯的席位。男子世界杯也有一个有意义和清楚明确的预选赛路径，20个国家参加了地区比赛，以确定2025年法国世界杯的剩余7个席位。”,422,其他,汤加 澳大利亚 英国英格兰  黎巴嫩 新西兰 巴布亚新几内亚 法国 萨摩亚 美洲 亚太 欧洲 中东 非洲,橄榄球 世界杯 联盟 2025年 球队 ,国际橄榄球联盟,2022.12.24,246,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=5&sn=88b09f0095d782a96104cbf11aad7908&chksm=bef6dc3f89815529f8163a87ac089ba3b21dbacf7c201778201d3af569e30dc285f60b0fc08b#rd
181,今年瓦国农业发展如何？来看农业部长的这份年终总结,在制定2022年商业计划时，瓦努阿图农业和农村发展部（DARD）寻求“在新常态下实现繁荣和弹性的创新”。这一目标在今年得到了真正的考验，因为该国出现了首例新冠感染病例，随后在今年上半年实行了两个多月的封锁。上述言论是DARD部长拉沃（Antoine Ravo）在其2022年终致辞中发表的。《瓦国日报》22日报道，拉沃表示，尽管面临疫情的意外挑战，但该部门仍然实现了今年计划的大部分业务活动。这包括制定新的政策文件，包括《国家种子战略》、农业研究和技术中心（VARTC）五年战略计划、《国家根茎作物战略》，以及支持国家性别平等政策下农业部的首个性别平等行动计划。其他主要活动包括正在进行的全国农业普查，这是自2007年以来首次获得农业领域的新数据，以及增加大溪地石灰和根茎作物对新西兰市场的出口。2023年，瓦努阿图民众可以期待该部门启动一些大型项目，包括亚洲开发银行（ADB）后院园艺项目、瓦努阿图社区气候适应能力项目（VCCRP）和全球环境基金第六期项目。（周晓编译）,436,其他,瓦努阿图 新西兰 亚洲开发银行,农业 今年 计划 包括 项目 ,亚洲开发银行（ADB） 瓦努阿图社区气候适应能力项目（VCCRP） 全球环境基金第六期项目,2022.12.22,248,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227529&idx=7&sn=ed764df15fa78cfd2ac3540e9ecf34ae&chksm=bef6dc3f89815529d898418f2d1d432f02f40ed70a63dd506d2d996d28a2b8da52b35e3e45ba#rd
189,地缘政治加剧 小国只能听天由命？所总理找出国内最大威胁,所罗门群岛总理索加瓦雷（Manasseh Sogavare）近日对民主进步执政联盟（DCGA）议员的政治成熟度和对国家的热爱表示赞赏。《所罗门星报》15日报道，索加瓦雷在允许议员就他们感兴趣的问题发言的无限期动议中强调了这一点。他指出，“如果不是DCGA成员的承诺和决心来迎接这些挑战，尊重法治和民主原则”，2021年11月的暴力事件本可以推翻政府。他进一步警告称，未来地缘政治将加剧。“如果我必须找出对所罗门群岛这样的发展中小国的和平与稳定的最大威胁，除了体制、治理和结构问题之外，那就是这些大国采取的战略，让无助的发展中小国只能‘听天由命’。”索加瓦雷强调，在外国势力不断的拉扯中，所罗门群岛的主要问题是如何在所有这些方面对本国进行战略定位。另外，他还提到，迄今为止取得的政策成就和重大项目是政治稳定的结果，“......这种发展环境需要政府班子成员的坚定努力来创造”。索加瓦雷承认政府的议员们确保了政治稳定，这证明了“我们只有把重点放在民众的发展需求上，而不是肮脏的政治上，才能克服挑战”。（周晓编译）,454,其他,所罗门群岛,政治 所罗门 发展 群岛 索加瓦雷 ,联合国 亚太经合组织 东盟 联合国发展计划署 联合国教科文组织 联合国粮食及农业组织 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人口基金会 联合国经济及社会理事会 联合国安全理事会 联合国人权理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国犯罪及司法组织 联合国货币基金组织 联合国粮食及农业组织 联合国经济及社会理事会 联合国人口基金会 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人权理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国犯罪及司法组织 联合国货币基金组织 联合国经济及社会理事会 联合国人口基金会 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人权理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国犯罪及司法组织 联合国货币基金组织 联合国经济及社会理事会 联合国人口基金会 联合国环境规划署 联合国难民署 联合国儿童基金会 联合国人权理事会 联合国教育 科学及文化组织 联合国贸易及发展会议 联合国犯罪及司法组织 联合国货,2022.12.15,258,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=1&sn=3617ecce33424e6fc510bb405f60d0ca&chksm=bef6ddfe898154e8d608589efee181bdf1e0563cf5a2fd9c1beee16e70bb36ccc4185c3a4bab#rd
190,货币能力仍然强劲 汤加国内油价平稳回落,从12月19日开始，除汽油价格继续上涨外，柴油和煤油的价格将大幅下降。汤加Matangi网报道，经汤加主管当局(TCA)批准，新的石油零售价格将从2022年12月持续至2023年1月。汽油价格从目前每升3.49汤加潘加（约合1.48美元）上涨到3.52汤加潘加（约合1.49美元）煤油价格从目前每升3.17汤加潘加（约合1.34美元）降至3.08汤加潘加（约合1.30美元）柴油价格由目前每升4.25汤加潘加（约合1.80美元）降至4.03汤加潘加（约合1.70美元）虽然原油价格在一个月的平均基础上下降，但产品价格却有变化。亚太地区汽油炼油利润有所增长。同样，飞机/煤油价格下跌主要是由于原油价格大幅下降。然而，地区冬季对煤油作为取暖燃料的需求支撑着炼油利润。海运运价小幅上涨（上涨5.6%），部分抵消了上个月的下降。此外，持续的俄乌冲突（公司避免使用俄罗斯拥有的油轮）维持着比平时更高的海运费率。“汤加潘加（作为货币）已经加强，抵消了部分上涨，促进了价格下跌。”（周晓编译）,439,其他,汤加 俄罗斯,价格 汤加 美元 上涨 煤油 ,TCA 亚太计划,2022.12.15,259,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=2&sn=967b751854c52764e1a45795145a01a2&chksm=bef6ddfe898154e8210214d23e2fb32015097e8fc80954074ca82942fd369bf91e825f4924a6#rd
191,再续伙伴关系 太平洋环境规划署与联合国再度联手,设在萨摩亚首都阿皮亚的太平洋区域环境规划署秘书处（SPREP）和联合国环境规划署（UNEP）近日继续延续双方的伙伴关系。萨摩亚观察者网18日报道，近日在加拿大蒙特利尔举行的联合国《生物多样性公约》第十五次缔约方会议（COP15）期间，双方签署了一份新的谅解备忘录，从而巩固了该区域组织与联合国机构之间的伙伴关系。新的谅解备忘录使两个组织能够努力实现共同的目标和目的，以应对气候变化、自然和生物多样性丧失以及污染和废物这三重全球危机，包括支持环境保护、适应和减缓气候变化以及太平洋社区可持续发展的生物多样性。UNEP执行主任安德森（Inger Anderson）表示，在COP15上与SPREP恢复伙伴关系具有特殊意义。安德森说：“我们知道，太平洋岛屿显然是最容易受到气候变化影响的地区之一，你们在这个问题上的道德清晰度比任何人都高。我们希望支持这种道德清晰度，因为你们所做的工作非常关键。”SPREP还将利用太平洋岛屿自然保护圆桌会议（PIRT）作为协调机构。PIRT是一个由自然保护和发展组织、政府间组织和捐赠机构组成的联盟，成立于1998年，旨在加强太平洋岛屿地区有效的保护行动。除了感谢澳大利亚、法国和新西兰提供的预算外，她还感谢上述国家的项目和技术支持。（周晓编译）,537,其他,萨摩亚 加拿大 澳大利亚 法国 新西兰,太平洋 伙伴 关系 环境 联合国 ,自然保护圆桌会议（PIRT）联合国环境规划署（UNEP）太平洋区域环境规划署（SPREP）联合国《生物多样性公约》,2022.12.14,260,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227464&idx=3&sn=90932e75cf58396f0c40ba37b70a1a1e&chksm=bef6ddfe898154e8ae0a9f903a4bd08afac9f27146a08981af193e5536eee801e804376d20c8#rd
210,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.8,286,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227306&idx=2&sn=0f2caf1f253dec3a24df4056218b09ab&chksm=bef6dd1c8981540a8d969fb86a3e8c142143faf72c3d95c1c35aaab67b1927604cc120ffeb17#rd
211,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.8,288,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227305&idx=2&sn=9ea5cbc325dd83ed1b4a8fdc94dba1de&chksm=bef6dd1f89815409c97f6d9416f1ef7f60c5b4cfb244ae98ae44e9597678a74fbbe4cba942a5#rd
212,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.8,291,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227304&idx=2&sn=8dc04f48a315c94963986c3b26eff365&chksm=bef6dd1e898154085ace6f3119abdbf5edb08317305c78198bf010099174e6b6729f9f9c3777#rd
213,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.8,294,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227302&idx=2&sn=7fc0816d3a6cd667d341bbf9af5b33ff&chksm=bef6dd1089815406e9cae21e06ad1ab3c2200b7163578b34da2cb9f7c36e7d525dda1a380e85#rd
217,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.7,286,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227306&idx=2&sn=0f2caf1f253dec3a24df4056218b09ab&chksm=bef6dd1c8981540a8d969fb86a3e8c142143faf72c3d95c1c35aaab67b1927604cc120ffeb17#rd
218,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.7,288,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227305&idx=2&sn=9ea5cbc325dd83ed1b4a8fdc94dba1de&chksm=bef6dd1f89815409c97f6d9416f1ef7f60c5b4cfb244ae98ae44e9597678a74fbbe4cba942a5#rd
219,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.7,291,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227304&idx=2&sn=8dc04f48a315c94963986c3b26eff365&chksm=bef6dd1e898154085ace6f3119abdbf5edb08317305c78198bf010099174e6b6729f9f9c3777#rd
220,【快讯】2022年12月8日斐济共新增26例新冠确诊病例,今日共5名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例156个，共记录了68553个病例，其中66529人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68483。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年12月7日，斐济共有95.5%的成人（59.0万人）完全接种了疫苗，104.2%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32698名完全接种了疫苗，39357名完成了第一针疫苗的接种。12至14岁的儿童共有17569名完全接种了疫苗,369,其他,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.12.7,294,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227302&idx=2&sn=7fc0816d3a6cd667d341bbf9af5b33ff&chksm=bef6dd1089815406e9cae21e06ad1ab3c2200b7163578b34da2cb9f7c36e7d525dda1a380e85#rd
